Hidden Config,Method,Train MSE,Test MSE,Epochs,Time (s),CPU Δ (MB),CPU Peak (MB),Best D
"(32,64,16)",DNN,0.17808900971535355,1.498601527784511,1000,7.195162773132324,-0.03125,0.0625,
"(32,64,16)",ResNet,0.18916349735685725,1.5271751958173148,1000,10.144828796386719,0.03125,0.03125,
"(32,64,16)",DKL,0.08436301066547508,2.5849192054512495,300,5.7804107666015625,36.53125,36.53125,
"(32,64,16)",DGP,0.17170034420740637,2.3304834408975137,1000,153.31516528129578,137.796875,137.796875,
"(32,64,16)",MLKM,0.5759534634482131,1.7028060514112155,1000,9.593653917312622,-0.03125,0.0625,32.0
"(32,64,16)",ResKernelNet,0.17482809625571546,1.1630974413718136,1000,12.660179138183594,0.0625,0.0625,64.0
"(32,128,32)",DNN,0.1803807950297774,1.386843161271471,1000,7.696685791015625,-0.0625,0.03125,
"(32,128,32)",ResNet,0.15914839462516514,1.433738915458245,1000,11.457759857177734,0.15625,0.15625,
"(32,128,32)",DKL,0.07647039007307284,2.912536311911515,300,5.811333179473877,43.8125,43.8125,
"(32,128,32)",DGP,0.17170034420740637,2.3304834408975137,1000,204.22331976890564,163.796875,163.796875,
"(32,128,32)",MLKM,0.6989935415611129,1.5087470867607238,504,5.328770160675049,-0.0625,0.03125,32.0
"(32,128,32)",ResKernelNet,0.15684010479917485,1.2934867187746644,1000,16.05742907524109,0.03125,0.03125,288.0
"(32,128,16)",DNN,0.19133992251948256,1.240450037889759,1000,7.6790931224823,-0.0625,0.03125,
"(32,128,16)",ResNet,0.18664814927501883,1.470328907799745,1000,11.609782934188843,0.03125,0.03125,
"(32,128,16)",DKL,0.13561207426716002,2.571947208118713,300,6.242796182632446,36.53125,36.53125,
"(32,128,16)",DGP,0.17170034420740637,2.3304834408975137,1000,198.32137489318848,130.671875,130.671875,
"(32,128,16)",MLKM,0.6949547083093015,1.6392822503099471,506,5.185847043991089,0.0,0.03125,32.0
"(32,128,16)",ResKernelNet,0.1684093410145435,1.2902396537409204,1000,23.499869108200073,0.03125,0.03125,128.0
"(64,128,16)",DNN,0.1512353089517195,1.2526269761801638,1000,7.787703037261963,-0.0625,0.03125,
"(64,128,16)",ResNet,0.1588363892606118,1.3781752467661144,1000,12.000298023223877,0.171875,0.171875,
"(64,128,16)",DKL,0.1837407276104461,4.88665070822497,300,7.22571325302124,44.03125,44.03125,
"(64,128,16)",DGP,0.17170034420740637,2.3304834408975137,1000,325.32464718818665,160.265625,160.265625,
"(64,128,16)",MLKM,0.4029436666126064,1.6382583089531908,1000,24.266745805740356,-109.8125,0.75,64.0
"(64,128,16)",ResKernelNet,0.1476007766840154,1.2553866416194144,1000,16.96966814994812,0.09375,0.09375,128.0
"(64,128,32)",DNN,0.16198321817348302,1.4498115662437783,1000,8.219105958938599,0.046875,0.109375,
"(64,128,32)",ResNet,0.1632953827581184,1.4054941382867596,1000,12.492987155914307,0.046875,0.046875,
"(64,128,32)",DKL,0.18036316374407407,5.319989056547229,300,6.555872917175293,46.171875,46.171875,
"(64,128,32)",DGP,0.17170034420740637,2.3304834408975137,1000,260.95324897766113,-52.984375,39.484375,
"(64,128,32)",MLKM,0.41500763434132415,1.6751904055535092,1000,15.213608264923096,1.0625,1.0625,192.0
"(64,128,32)",ResKernelNet,0.15179382753603712,1.2180662990024453,825,15.739383935928345,2.140625,2.140625,304.0
"(16,32,16)",DNN,0.24041781618369917,1.3766259421614218,1000,7.7776031494140625,-0.484375,0.84375,
"(16,32,16)",ResNet,0.23393585752027038,1.4252843773555508,1000,10.624215126037598,-1.15625,0.1875,
"(16,32,16)",DKL,0.19494595384126434,2.495991114502121,300,6.310577869415283,35.328125,35.328125,
"(16,32,16)",DGP,0.17170034420740637,2.3304834408975137,1000,188.7148687839508,180.296875,180.296875,
"(16,32,16)",MLKM,0.5085341611098618,1.7875268246659175,1000,10.686227798461914,-108.5,0.265625,64.0
"(16,32,16)",ResKernelNet,0.276123006332763,1.0543369211874452,1000,13.766605138778687,0.453125,0.453125,224.0
"(16,64,32)",DNN,0.21511170601167776,1.3200082295907736,1000,7.8435869216918945,0.109375,0.1875,
"(16,64,32)",ResNet,0.21502694933908048,1.476547933443821,1000,10.718045234680176,0.109375,0.109375,
"(16,64,32)",DKL,0.11202131943011069,2.6967154262815747,300,6.57679295539856,44.9375,44.9375,
"(16,64,32)",DGP,0.17170034420740637,2.3304834408975137,1000,216.63747882843018,205.328125,205.328125,
"(16,64,32)",MLKM,0.588306947802838,1.81766375924283,1000,10.380950212478638,-0.0625,0.03125,32.0
"(16,64,32)",ResKernelNet,0.29143403035288745,1.0339062719557985,759,11.277375936508179,0.21875,0.21875,256.0
