D,model,train_mse,test_mse,runtime,cpu_peak_mb,conf_half
64,MLKM,,,,,
64,ResKernelNet,,,,,
96,MLKM,,,,,
96,ResKernelNet,,,,,
128,MLKM,,,,,
128,ResKernelNet,,,,,
160,MLKM,,,,,
160,ResKernelNet,,,,,
192,MLKM,,,,,
192,ResKernelNet,,,,,
224,MLKM,,,,,
224,ResKernelNet,,,,,
256,MLKM,,,,,
256,ResKernelNet,,,,,
288,MLKM,,,,,
288,ResKernelNet,,,,,
320,MLKM,,,,,
320,ResKernelNet,,,,,
352,MLKM,,,,,
352,ResKernelNet,,,,,
384,MLKM,,,,,
384,ResKernelNet,,,,,
416,MLKM,,,,,
416,ResKernelNet,,,,,
448,MLKM,,,,,
448,ResKernelNet,,,,,
480,MLKM,,,,,
480,ResKernelNet,,,,,
512,MLKM,,,,,
512,ResKernelNet,,,,,
