Hidden Config,Method,Train MSE,Test MSE,Epochs,Time (s),CPU Δ (MB),CPU Peak (MB),Best D,Conformal Coverage,Conformal Avg Len
"(32,64,16)",DNN,0.17808900971535355,1.498601527784511,1000,8.142452955245972,0.203125,0.234375,,0.5768390386016023,1.9525868591308608
"(32,64,16)",ResNet,0.18916349735685725,1.5271751958173148,1000,11.050678968429565,-256.4375,0.34375,,0.5928623452294246,2.024053619384766
"(32,64,16)",DKL,0.08436301066547508,2.5849192054512495,300,7.923496961593628,47.375,47.375,,,
"(32,64,16)",DGP,0.17170034420740637,2.3304834408975137,1000,185.99063920974731,219.40625,219.40625,,,
"(32,64,16)",MLKM,0.2426063556601396,1.4150401493511457,170,2.5881941318511963,0.21875,0.234375,64.0,0.7101238164603059,2.275162384033202
"(32,64,16)",ResKernelNet,0.24685709264084918,1.3290633202835922,1000,14.473371982574463,-739.578125,0.03125,160.0,0.6329206117989803,2.18676480102539
"(32,128,32)",DNN,0.1803807950297774,1.386843161271471,1000,8.146525144577026,-465.90625,0.46875,,0.6467589220684632,1.9677248840332027
"(32,128,32)",ResNet,0.15914839462516514,1.433738915458245,1000,11.617434024810791,0.203125,0.203125,,0.5593590677348871,1.856979071044918
"(32,128,32)",DKL,0.07647039007307284,2.912536311911515,300,6.175867080688477,38.6875,38.6875,,,
"(32,128,32)",DGP,0.17170034420740637,2.3304834408975137,1000,180.95627403259277,191.734375,191.734375,,,
"(32,128,32)",MLKM,0.18017497706510593,1.6083552459717654,193,3.359522819519043,-1.640625,0.03125,128.0,0.6139839766933721,1.9402568054199207
"(32,128,32)",ResKernelNet,0.28047064167051355,1.185143489231347,741,11.313494205474854,-1176.3125,0.359375,48.0,0.662053896576839,2.0989110870361287
"(32,128,16)",DNN,0.19133992251948256,1.240450037889759,1000,7.801635265350342,-932.890625,0.5625,,0.6919155134741443,2.0315955749511687
"(32,128,16)",ResNet,0.18664814927501883,1.470328907799745,1000,11.542961835861206,-495.140625,0.296875,,0.6161689730517116,2.0395412841796845
"(32,128,16)",DKL,0.13561207426716002,2.571947208118713,300,6.322412729263306,46.359375,46.359375,,,
"(32,128,16)",DGP,0.17170034420740637,2.3304834408975137,1000,183.80256986618042,218.078125,218.078125,,,
"(32,128,16)",MLKM,0.12021444226740866,2.168604424418328,346,5.082414150238037,-932.4375,0.578125,112.0,0.4945375091041515,1.9153222717285132
"(32,128,16)",ResKernelNet,0.28855659093625297,1.2104669082428032,740,11.22151803970337,-957.828125,0.234375,48.0,0.7363437727603788,2.2221477722168004
"(64,128,16)",DNN,0.1512353089517195,1.2526269761801638,1000,8.025568008422852,-1419.921875,0.78125,,0.6445739257101238,1.9606623168945347
"(64,128,16)",ResNet,0.1588363892606118,1.3781752467661144,1000,11.87274432182312,0.265625,0.265625,,0.6212672978878369,2.052091516113279
"(64,128,16)",DKL,0.1837407276104461,4.88665070822497,300,6.331485271453857,46.453125,46.453125,,,
"(64,128,16)",DGP,0.17170034420740637,2.3304834408975137,1000,185.30988216400146,217.859375,217.859375,,,
"(64,128,16)",MLKM,0.2337508941273829,1.7134985655827322,142,2.52276611328125,-3.078125,0.359375,64.0,0.6467589220684632,2.252195104980466
"(64,128,16)",ResKernelNet,0.28053867888816353,1.1631153978460702,742,11.984110832214355,211.8125,933.109375,64.0,0.7297887836853605,2.2815845703125035
"(64,128,32)",DNN,0.16198321817348302,1.4498115662437783,1000,8.223513841629028,-1660.109375,0.828125,,0.5957756737072105,1.9549127197265646
"(64,128,32)",ResNet,0.1632953827581184,1.4054941382867596,1000,12.049934148788452,0.46875,0.46875,,0.5804806991988347,1.8701297668457073
"(64,128,32)",DKL,0.18036316374407407,5.319989056547229,300,6.69676399230957,46.3125,46.3125,,,
"(64,128,32)",DGP,0.17170034420740637,2.3304834408975137,1000,183.73257613182068,217.328125,217.328125,,,
"(64,128,32)",MLKM,0.1466736964299411,1.906945275815202,263,3.9603841304779053,2.28125,2.28125,112.0,0.6081573197378004,2.038719567871098
"(64,128,32)",ResKernelNet,0.28196545662456135,1.1462629364561656,742,11.494701147079468,-1159.3125,0.671875,64.0,0.718135469774217,2.2756603698730515
"(16,32,16)",DNN,0.24041781618369917,1.3766259421614218,1000,7.301615238189697,0.953125,1.03125,,0.7064821558630736,2.131446157836919
"(16,32,16)",ResNet,0.23393585752027038,1.4252843773555508,1000,9.407833814620972,-491.53125,0.265625,,0.6722505462490895,2.0666730102539077
"(16,32,16)",DKL,0.19494595384126434,2.495991114502121,300,6.336458921432495,46.453125,46.453125,,,
"(16,32,16)",DGP,0.17170034420740637,2.3304834408975137,1000,167.65844583511353,217.546875,217.546875,,,
"(16,32,16)",MLKM,0.25248218902798925,1.7664722064648728,287,3.3021819591522217,0.03125,0.109375,48.0,0.6678805535324108,2.441964111328126
"(16,32,16)",ResKernelNet,0.2637075181384202,1.1059582004201944,825,10.766266107559204,0.078125,0.078125,240.0,0.7144938091769847,2.1843920593261714
"(16,64,32)",DNN,0.21511170601167776,1.3200082295907736,1000,8.466609716415405,-490.28125,0.140625,,0.6846321922796795,2.1143109069824253
"(16,64,32)",ResNet,0.21502694933908048,1.476547933443821,1000,10.309544086456299,0.109375,0.109375,,0.6249089584850692,2.0141589721679694
"(16,64,32)",DKL,0.11202131943011069,2.6967154262815747,300,6.377548933029175,45.8125,45.8125,,,
"(16,64,32)",DGP,0.17170034420740637,2.3304834408975137,1000,180.85903787612915,175.703125,175.703125,,,
"(16,64,32)",MLKM,0.3537991937096874,1.7153148649040668,145,2.31247615814209,0.0,0.03125,48.0,0.7166788055353241,2.5682033935546897
"(16,64,32)",ResKernelNet,0.22395084708522087,1.1505096584513979,1000,13.835338115692139,466.453125,466.453125,144.0,0.6438455935906774,2.191282690429688
