n,D,test_mse,interval
200,32,0.060295652598142624,1.195946216583252
200,64,0.07840312272310257,1.1780532598495483
200,96,0.04959890618920326,0.9152518510818481
200,128,0.2158736288547516,1.7831964492797852
200,160,0.9195961952209473,4.153443336486816
200,192,0.3863600194454193,2.6599466800689697
200,224,0.5673787593841553,3.198533296585083
200,256,0.7679405808448792,3.983910083770752
200,288,0.6521855592727661,3.794739246368408
200,320,0.7069004774093628,3.827127695083618
200,352,0.5759478807449341,3.4834303855895996
200,384,0.6666136980056763,3.057739019393921
200,416,0.7296603322029114,4.132851600646973
200,448,0.5609623789787292,3.3814377784729004
200,480,0.6804024577140808,3.429100751876831
200,512,0.6405401825904846,3.9100358486175537
500,32,0.023748042061924934,0.5911321640014648
500,64,0.05525882542133331,0.9182982444763184
500,96,0.03119983710348606,0.6865413188934326
500,128,0.04813658818602562,1.030294418334961
500,160,0.06880074739456177,1.070766568183899
500,192,0.04293403774499893,0.7733094692230225
500,224,0.8128818869590759,4.172774791717529
500,256,0.802734375,3.576153516769409
500,288,0.6679118275642395,3.854961395263672
500,320,0.24740256369113922,2.032435894012451
500,352,0.5705766677856445,3.4912710189819336
500,384,0.6348367929458618,3.800924301147461
500,416,0.7212058305740356,4.048031330108643
500,448,0.995269238948822,4.280021667480469
500,480,0.7045932412147522,4.006134510040283
500,512,0.6056143045425415,3.435955286026001
1000,32,0.020161882042884827,0.6200768947601318
1000,64,0.06969244033098221,0.9615623354911804
1000,96,0.023541005328297615,0.6498501300811768
1000,128,0.04318293556571007,0.8267769813537598
1000,160,0.41684192419052124,2.9034197330474854
1000,192,0.05638641119003296,1.0527210235595703
1000,224,0.6126564741134644,3.7584009170532227
1000,256,0.6043835282325745,3.1347646713256836
1000,288,0.6855289936065674,3.9514427185058594
1000,320,0.5610510110855103,2.772345542907715
1000,352,0.6625092625617981,3.9325804710388184
1000,384,0.711713969707489,3.713987350463867
1000,416,0.7308454513549805,4.055089950561523
1000,448,0.7614923119544983,3.9146318435668945
1000,480,0.6041662693023682,3.692089319229126
1000,512,0.6220306158065796,3.6603660583496094
2000,32,0.019640712067484856,0.6278856992721558
2000,64,0.02701820619404316,0.7413005828857422
2000,96,0.02409437671303749,0.5999928712844849
2000,128,0.03238249942660332,0.7659053802490234
2000,160,0.9278090000152588,3.6943471431732178
2000,192,0.07957659661769867,1.1676976680755615
2000,224,0.6460056304931641,3.44354248046875
2000,256,0.5898187160491943,3.6123063564300537
2000,288,0.7606684565544128,4.3502678871154785
2000,320,0.5176722407341003,3.126514434814453
2000,352,0.5715017318725586,3.684417724609375
2000,384,0.7341176271438599,3.671072483062744
2000,416,0.6201276779174805,3.649341583251953
2000,448,0.645433247089386,3.7258641719818115
2000,480,0.5942164063453674,3.7847790718078613
2000,512,0.6149377822875977,3.6594390869140625
4000,32,0.011355211026966572,0.4436352252960205
4000,64,0.025022391229867935,0.6548006534576416
4000,96,0.016885878518223763,0.5504529476165771
4000,128,0.019953332841396332,0.5586175322532654
4000,160,0.13580995798110962,1.672162652015686
4000,192,0.24187533557415009,1.9919939041137695
4000,224,0.9373874068260193,4.204982757568359
4000,256,0.6587048768997192,3.6228785514831543
4000,288,0.7355223298072815,3.942086696624756
4000,320,0.36379700899124146,2.227074146270752
4000,352,0.5876991152763367,3.6464877128601074
4000,384,0.6173510551452637,3.5901451110839844
4000,416,0.569122314453125,3.425168514251709
4000,448,0.6319154500961304,3.5366601943969727
4000,480,0.6324426531791687,3.482713222503662
4000,512,0.5865288972854614,3.5045254230499268
6000,32,0.015134918503463268,0.571923017501831
6000,64,0.02358519472181797,0.5446715354919434
6000,96,0.012739196419715881,0.4337728023529053
6000,128,0.02941662073135376,0.6445208787918091
6000,160,0.0368991456925869,0.7648491859436035
6000,192,0.03299662098288536,0.7208282947540283
6000,224,0.7591195106506348,4.170347213745117
6000,256,0.8077940940856934,3.7815041542053223
6000,288,0.6901609897613525,3.945617437362671
6000,320,0.4521344006061554,3.134030342102051
6000,352,0.6031053066253662,3.6113228797912598
6000,384,0.6383946537971497,3.8193421363830566
6000,416,0.5625261068344116,3.302903890609741
6000,448,0.6208144426345825,3.6030941009521484
6000,480,0.5606157779693604,3.5632882118225098
6000,512,0.5801947712898254,3.4166698455810547
8000,32,0.010829399339854717,0.49167299270629883
8000,64,0.037444550544023514,0.8069368600845337
8000,96,0.02089345082640648,0.5944546461105347
8000,128,0.024971695616841316,0.6693494319915771
8000,160,0.08592785894870758,1.1312801837921143
8000,192,0.22247301042079926,2.1011173725128174
8000,224,0.6846930980682373,3.7232160568237305
8000,256,0.7190133929252625,4.023707866668701
8000,288,0.6410130858421326,3.4816370010375977
8000,320,0.16575121879577637,1.72788405418396
8000,352,0.5646799206733704,3.529096841812134
8000,384,0.5715728998184204,3.2984070777893066
8000,416,0.5760005712509155,3.574812650680542
8000,448,0.5687949061393738,3.615619659423828
8000,480,0.63387131690979,3.529569625854492
8000,512,0.5996485352516174,3.5929441452026367
